Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,138,Mexico,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,476,,Official data
TCL,Crops and livestock products,141,Mongolia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,66,,Official data
TCL,Crops and livestock products,273,Montenegro,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,1039,,Official data
TCL,Crops and livestock products,143,Morocco,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,938,,Official data
TCL,Crops and livestock products,144,Mozambique,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,,,Official data
TCL,Crops and livestock products,144,Mozambique,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,*,Unofficial figure
TCL,Crops and livestock products,28,Myanmar,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,5,,Official data
TCL,Crops and livestock products,28,Myanmar,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,,Official data
TCL,Crops and livestock products,147,Namibia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,215,Im,FAO data based on imputation methodology
TCL,Crops and livestock products,147,Namibia,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,9,Im,FAO data based on imputation methodology
TCL,Crops and livestock products,148,Nauru,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,2,*,Unofficial figure
TCL,Crops and livestock products,149,Nepal,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,,Official data
TCL,Crops and livestock products,150,Netherlands,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,430158,,Official data
TCL,Crops and livestock products,150,Netherlands,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,237808,,Official data
TCL,Crops and livestock products,153,New Caledonia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,17,R,Estimated data using trading partners database
TCL,Crops and livestock products,156,New Zealand,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,8902,,Official data
TCL,Crops and livestock products,156,New Zealand,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,2,,Official data
TCL,Crops and livestock products,157,Nicaragua,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,2,,Official data
TCL,Crops and livestock products,157,Nicaragua,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,4013,,Official data
TCL,Crops and livestock products,158,Niger,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,15,R,Estimated data using trading partners database
TCL,Crops and livestock products,159,Nigeria,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,259,R,Estimated data using trading partners database
TCL,Crops and livestock products,159,Nigeria,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,294661,R,Estimated data using trading partners database
TCL,Crops and livestock products,154,North Macedonia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,3550,,Official data
TCL,Crops and livestock products,154,North Macedonia,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,14,,Official data
TCL,Crops and livestock products,162,Norway,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,6727,,Official data
TCL,Crops and livestock products,162,Norway,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,4,,Official data
TCL,Crops and livestock products,221,Oman,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,3108,,Official data
TCL,Crops and livestock products,221,Oman,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,147,,Official data
TCL,Crops and livestock products,299,Palestine,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,1104,R,Estimated data using trading partners database
TCL,Crops and livestock products,166,Panama,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,38,R,Estimated data using trading partners database
TCL,Crops and livestock products,166,Panama,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,852,R,Estimated data using trading partners database
TCL,Crops and livestock products,168,Papua New Guinea,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,R,Estimated data using trading partners database
TCL,Crops and livestock products,168,Papua New Guinea,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,36307,R,Estimated data using trading partners database
TCL,Crops and livestock products,169,Paraguay,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,3,,Official data
TCL,Crops and livestock products,170,Peru,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,4450,,Official data
TCL,Crops and livestock products,170,Peru,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,61970,,Official data
TCL,Crops and livestock products,171,Philippines,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,1491,,Official data
TCL,Crops and livestock products,171,Philippines,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,3069,,Official data
TCL,Crops and livestock products,173,Poland,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,364020,,Official data
TCL,Crops and livestock products,173,Poland,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,249,,Official data
TCL,Crops and livestock products,174,Portugal,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,4929,,Official data
TCL,Crops and livestock products,174,Portugal,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,27,,Official data
TCL,Crops and livestock products,179,Qatar,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,19,,Official data
TCL,Crops and livestock products,117,Republic of Korea,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,33425,,Official data
TCL,Crops and livestock products,117,Republic of Korea,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,23,,Official data
TCL,Crops and livestock products,146,Republic of Moldova,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,2763,Im,FAO data based on imputation methodology
TCL,Crops and livestock products,183,Romania,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,14890,,Official data
TCL,Crops and livestock products,183,Romania,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,13,,Official data
TCL,Crops and livestock products,185,Russian Federation,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,233075,,Official data
